page_number,essay
98,"The saying ""you can be your own worst enemy"" was the embodiment of the time I hit 
lowest point. Finishing my 22-hour days, I expected to lay down in bed close my eyes, 
and smile: thinking about all my accomplishments. Instead, I was sleep deprived, rapidly 
losing and gaining weight, and unhappy. 
As a result, I stopped being able to focus and my grades began to fall. I lost motivation 
and the only reason I did anything was because of my obsession with completion. In 
this vulnerable state, I would tell myself I was useless and shy away from taking 
opportunities. I started to question if could get out of the hole I dug. Ironically, I have 
always been an optimist. I thought about the many things I wanted to do and I wouldn't 
be able to do any of them from a hospital bed. 
Seeing the bright light ahead of me, I moved forward to a journey of self-improvement. 
First, I isolated myself from things that were affecting my happiness through finding a 
place where I could peacefully think about why I was enduring so much pain, regularly 
eat, and get some sleep. When I came back from my retreat, I continued my routine 
which improved my health and performance in school. The greatest outcome was my 
realization that I was compensating for my lack of self-esteem, I've been trying to get 
validation from my parents and peers by trying to be perfect, but when my friends left 
me and my parents didn't notice my efforts I overworked myself. 
It was hard to stop searching for approval, yet the support of close friends and 
acknowledging that I'm doing everything I'm capable of, revealed to me what its like to 
love yourself. From then on, I determined my self worth, no one else. Now that I found 
my own drive and am confident, I don't have to beg for friends. struggle to maintain 
grades, skip meals, or lose sleep. Presently, I can say I am no longer my worst enemy: 
we're like friends that get closer every day."
99,"The cross-curricular focus and freedom of study at Tufts would allow me to pursue an 
interdisciplinary major and draw together my love for Spanish, Portuguese, Linguistics, 
and the natural sciences. This unique ability to design my own major by combining 
elements from a variety of academic fields definitely excites me. To support this, I intend 
to participate in the study abroad program in Chile or a civic semester in Urubamba, 
Peru that will allow me to practice my language skills while also benefitting the local 
community and gaining an invaluable cultural understanding through intimate homestay 
experience. Other than the academics, the vibrant community at Tufts also attracts me, 
with the warm and compassionate students acting as flattering adverts for the school. 
One student I spoke with described the average Jumbo as “goofy and loving” which I 
feel accurately matches my own character and outlook."
100,"Seconds after our teacher announced our project groups I heard the familiar, pitchy 
voice of the most irritating person in the class yell my name. Just like my worst 
nightmare, I had been put in a group to work with Eva; the annoying girl who had a 
weird obsession with horses. At that moment, I knew that it was going to be the longest 
project of my life. 
Eva was extremely difficult to work with; she would always interrupt me, stubbornly 
stuck to what she wanted, and did not listen to a thing I said. Two weeks of tension and 
no progress flew by until one day during class, Eva went on another ramble about her 
horses. 
Although I wasn't ready to hear her talk about horses again, I let her continue. What 
was another rant about horses turned into a conversation about the mental disorders 
Eva faced and how she relied on horse riding as therapy. After that conversation, our 
progress took a complete 180. I was eager to learn more, and we finished the project 
with more purpose and meaning. My perspective changed entirely. 
I was moved by Eva’s passion for horse riding and encouraged her to start a club on 
campus where she could share her passion with others. Beyond this project, I helped 
Eva defend her riding center during city council meetings because it was on the verge of 
being shut down. In exchange, working with Eva taught me how to be more open-
minded, more patient, more understanding; values of which I personally lacked my 
entire life. I began to cooperate with people with a more accepting and considerate 
mentality, understanding that people work in different ways. 
I’m glad I chose to work through the project with Eva because I grew as a leader in a 
way that I would have never expected. I know I could have easily done the project by 
myself, but instead, I worked through our disagreements and bickering. Sharing this 
experience with Eva unearthed my ability to lead using patience and understanding, 
which are now essential assets to my leadership capabilities."
101,"Why Northwestern? Because this introduction was so difficult to write; because I cannot 
possibly summarize these reasons in one introductory sentence. Simply put, my 
interests span across a wide range, and Northwestern has a place for them all. 
As an enthusiastic programmer and advocate for positive minority representation in the 
media, I hope to combine both these interests and conduct research on the influence of 
media on society. To my delight as a prospective communications major, the School of 
Communication's research labs showcase project topics ranging from the depiction of 
STEM in media to improving digital communication. I look forward to taking advantage 
of the high-quality research, internship and even career opportunities offered to explore 
my ideas. 
My multiple passions keep me creative and energetic, and I plan to continue pursuing 
them at Northwestern. With years of editing and writing experience for school 
publications under my belt, for instance, I hope to join the staff of Helicon and North by 
Northwestern. Last but not least is the constant school spirit and sense of inclusion 
present within campus. During my campus tour, each tour guide seemed genuinely 
excited to introduce prospective students to the school. As my particular tour guide 
described the quarter system and tradition of guarding and painting the rock with 
passion in her eyes, I knew that only at Northwestern could I find students as 
enthusiastic about the school itself as they are about their majors. I also spotted many 
students of color while visiting; as an Asian woman, Northwestern's focus on 
diversifying reassures me that not only will I not be judged for my background, but that I 
will get to meet students of all ethnicities and cultures. 
College is a time of self-discovery, and I firmly believe I can see my dreams become 
reality at Northwestern."
102,"Originally I saw volunteer work as a nuisance. I felt that it was an unnecessary 
""requirement"" for college. I felt that someone decided to do volunteer work while in high 
school and now it has become the norm and is essentially required for college. Once I 
began to get involved, however, I found a true appreciation for the work I was doing. 
I loved helping people and, as always, wanted to challenge myself. I worked at the 
Bellflower Volunteer center and tutored kids every day available, as well as helping out 
with large special events put on by the city. I then joined Key Club and made it my 
mission to attend every single event no matter what; even going to the lengths to walk 
for 4 hours starting at 5 in the morning (it was still dark outside) for a 2-hour beach clean 
up. I then became Service Event Coordinator and also made it my mission to have an 
event every week, while attending all of them, while still working at the Volunteer 
Center. I also started a tutoring program in math at my school as I really enjoy helping 
my peers academically. 
It always warmed my heart to see fellow ninjas( our division mascot) at events I had 
planned, friends and neighbors at Bellflower events, and CSF members at tutoring.I am 
always willing to help people with anything. If someone needs my help I will stop 
whatever I am doing to help in any way that I can. Lending a helping hand is an 
important part of our society; however, a helping hand cannot do anything if the other 
hand does not reach for it as well. We need to be able to help ourselves first before 
others can help us. I tried to create a community where I could help people, but also 
people could help themselves so that there is no reason for anyone to not be able to 
achieve their goals and aspirations."
103,"This was the night. Clenching my fists, I called my dad over. Maybe it was the 
adrenaline coursing through my veins or maybe just suspense, but time seemed to 
freeze as anxiety washed over my consciousness. A million doubts flooded my mind as 
I dreaded what would come next. The pitter-patter of his feet hitting the tile floor brought 
me back to reality. My dad had always loved and supported me, I just had to trust that 
things would be alright. 
In a quivering voice, my hands shaking, I explained to my dad that I was gay. After a 
brief moment of silence, my dad said ten words that completely changed my life: ""I 
raised you completely wrong, get out of my house"". I was devastated, but I wasn't 
surprised. This was the same person physically forced pork down my throat when I told 
him I wanted to become a vegetarian; who would hit me and my mom if either of us 
voiced dissenting opinions; and the same person who would come home drunk and 
threaten to kill us. With tears running down my cheeks, I packed my belongings and 
drove my 98' Nissan Pathfinder away from my home. From that night on I learned to be 
brave, to follow my dreams, and to fight for what I believe in. 
The next few years were tough. In my community, being gay was unacceptable and 
embracing my identity meant enduring the consequences. I will never forget being 
dragged into a storage room and choked or hiding the bruises I got from being pelted by 
textbooks. But looking back, I realize that the lessons I learned drove me towards 
success. They inspired me to be relentless and graduate early, to surpass expectations 
by doing college-credit classes, and remain strong in the face of oppression and 
adversity. Moving forward, as I look to broaden my education horizons, I know that I 
have the emotional vitality to success wherever I go. So I want to dedicate this essay to 
my dad and to everyone who made me strong, thank you."
104,"One extra hour is thirty minutes extra of daylight. 
The US has 28 GW of installed solar capacity. With the extra daylight, there will be a 4% 
increase in national capacity, an entire GW added. This small increase alone powers 
700,000 homes. I’m spending the time investing in photovoltaics!"
105,"The judge called “the prosecution may begin to question the defendant.” I shuddered 
quietly to myself as I smoothed my skirt and rose slowly from the chair. As I began to 
speak, I gained my confidence. My statement rolled off my tongue, as I projected my 
voice throughout the courtroom. “Would you please provide a rendition of events during 
this incident?” I asked. But, the testimony given was not in compliance with the pre-
court interview notes from the previous weeks. This defendant was sent to Ontario 
County Youth Court for consuming acid in school. I continued to question cautiously, but 
finally caught the defendant in a blatant lie. I calmly stated, “You are under oath and by 
lying, you are committing a federal offense of perjury. I would please ask you to tell the 
whole truth, and nothing but the truth, so the jury can reach an appropriate sentence.” I 
could see the defendant squirm during this confrontation. But, I was holding the upper 
hand, and lying could not undermine my self-assurance. The case progressed with a 
sense of caution, for the power of prosecution can dampen the mood. 
I have always been a searcher; for new opportunities, new friends, and a true passion. I 
have taken dance classes for fifteen years because I enjoy the creativity of movement, 
exercise, and my friendships with other dancers. But, dance is not my calling in life or 
deepest passion. I have taken tennis, golf, skiing, snowboarding, ice skating, sailing, 
sailboarding, scuba diving, and even sewing lessons. But these are also merely hobbies 
or interests. Freshman year, after fourteen years of searching, I finally discovered my 
true passion and calling in life: a career in law. 
I live on a dirt road and attend a small, rural school. There is not a single traffic light in 
the entire school district. But, these factors of seclusion have never hindered my 
appetite for exploration. One day, I saw a poster hanging in the atrium of my school 
about an information night regarding Ontario County Youth Court. On a whim, I decided 
to attend. I have always been an advocate for trying new activities, or else passions can 
never be unleashed and discovered. Without leaving one’s comfort zone and 
broadening one’s horizons, we can never grow as people. That evening, I sat in a room 
with fifteen other strangers and learned about restorative justice principles and careers 
in law. I was hooked. At that moment, I realized this my calling. 
After completing a 20-hour training process, being inducted as a full member of youth 
court, and religiously attending youth court cases each month, my thirst was still 
unquenched. Therefore, I became involved in court evaluating. Local court officials are 
assessed by volunteers to ensure they are fulfilling their duties to the 
community. Watching judges mandate reprimands for speeding tickets might be dull for 
some, but I find it fascinating. The legal system has such a vast array of powers and 
professions. I have continued to expand my knowledge by attending local, district, and 
circuit courts, along with touring a jail. 
While I was first motivated to join Ontario County Youth Court for the sake of self-
exploration and serving my community, I discovered my passion for law. By interacting 
with a vast array of youth offenders, I have had the opportunity to see the world others 
live in. Now, I have the ability to understand other people’s circumstances and social 
pressures. Most importantly, I have fully encompassed the value of prioritizing the 
common good above individual success."
106,"Thanksgiving is a special time for many in America. It is a celebration of American 
traditions. Growing up, with parents from Bangladesh, we never celebrated 
Thanksgiving – my parents always told me it was an American holiday, and we weren’t 
Americans. Now, we do celebrate Thanksgiving, albeit different from the traditional 
American holiday that most celebrate. 
The cuisine we eat is unique to us – the turkey has spices such as turmeric, giving it a 
hint of the perceptible Bengali flavor. The mashed potatoes in our house aren’t topped 
with gravy – they are topped with curry. There are slight nuances to everything we have 
at the dinner table that combines the essence and cultures of the traditional American 
style with our own Bengali culture. 
I believe that these meals, and our Thanksgiving, describes me personally. The 
combination of the American society in which I live and Bengali household I reside have 
a strong influence in my whole being. This clash of cultures blended together for me is 
something I would in turn contribute to the UNC community. 
I also believe that my background gives me a unique perspective on social justice, 
which allows me to contribute to conversations that others might struggle to contribute 
to. Because of our Thanksgiving and how it shapes me, I will carry that with me to 
college where it will provide a model for myself and my peers at UNC."
107,"When I attended a Notre Dame information session, the admission representative, 
Zach, told us wonderful stories about campus life. One thing that especially stuck out to 
me was how diverse Notre Dame is. It was intriguing to think that I could sit down at a 
lunch table and there would be someone there from Hong Kong, Germany, and Korea. 
This nurtures my love of cultures different from my own. Also, I’ve spent my whole life in 
Kansas City, which is roughly 8 hours away from Indiana. 
The idea of leaving everything that I’ve grown so familiar with frightens me. A family 
friend who attends Notre Dame says that you form a close bond with the people in your 
dorm, but it extends beyond that because it’s like everyone at Notre Dame is family. 
Even the Alumni stay involved long after they’ve graduated. People are proud to have 
graduated from Notre Dame, leading me to believe that when you attend Notre Dame, 
you become a family for life. Notre Dame has a history and legacy of greatness, and I 
would love to be a part of a school that changes lives like that."
108,"Life can be an overwhelming obstacle course, but my ability to get over any bump with a 
smile on my face has been my greatest strength. Maintaining an optimistic outlook has 
introduced me to new opportunities, made me a better leader, and helped me get 
through everyday life. Although my determination to get back up was built by a couple 
scrapes and falls. I learned about the impact of a positive attitude on others through my 
experience on the tennis team. 
The motivation and bond my team had because of the encouragement and support from 
our captains has influenced my approach to interacting with others. For instance, while 
working with my peers, I always praise them for the effort that they put in and patiently 
help them. When applying this to class projects and theater productions, I saw an 
improvement on our performance and our accomplishments felt more satisfying and 
meaningful. My positive attitude is also influential during my job at a convalescent 
home. As an activities assistant, my objective is to get residents to participate in 
activities and to make them fun. 
At times, it’s difficult to convince residents that a macaroni necklace is worth getting out 
of bed for, but I am always that friendly face that cheers them on and picks them up. 
Knowing that my happiness is brightening someone else's day is extremely valuable 
and is the fuel to my enthusiasm. 
Preserving my optimism is not always easy; however, my excitement for the future 
retains my drive to overcome any challenge. Every opportunity given to me is taken 
advantage of, and if something doesn't go as planned. I am confident another door will 
open. Even though I enjoy focusing on the bright side of life, I'm aware that some 
people feel like they cant overcome their challenges alone. I recognized that I can be a 
hand to help people up, someone to believe in them, and a friend to conquer obstacles 
with. Using this positive influence is the very reason why I am looking forward to a 
career in psychology."
109,"A defining factor of my interests and character is membership to Ontario County Youth 
Court. Not only have I enjoyed the career exploration, new opportunities, and service 
aspects of the program, but also the people within it. Youth court provides as alternative 
path legal path for youth offenders. But also serves the community of members who 
conduct the trials. This has allowed me to gain an understanding of other people’s 
situations and circumstances. 
After four years of dedicated membership, I have assumed leadership positions within the 
program. This includes acting as lead prosecutor, along with the elected chair of the 
Ontario County Youth Court Steering Committee. As chair, I have planned successful 
member outreach events such as a Halloween party and a career exploration event. By 
acting as a mentor and providing guidance towards my fellow members, I have encouraged 
others to develop a passion for youth court and law. Without this community, I would have 
never discovered my true passion for law, or broadened my understanding of others."
110,"The first time music ever spoke to me was when I first listened to Bridge Over Troubled 
Water. Lyrics such as “a man just hears what he wants to hear and disregards the rest,” 
made me fall in love with the album, as it made me reflect more upon society’s values, 
and prompted me to question my own. There are more metaphorical lyrics such as “Like 
a bridge over troubled water, I will lay me down”. This resonated with me, since as 
someone who has dealt with an alcoholic mother, I sometimes felt I would never get 
across that water. But Simon and Garfunkel taught me to build a bridge and cross over 
it into better times, and so I did."
111,"Throughout my time at school, I have tried to share my passions and interests with 
others in various ways. 
With the help of a friend, I reinvigorated and reinvented the school linguistics society, 
transforming it from a dull discussion of past exam questions to a seminar-style session 
where I have presented and analysed various interesting aspects of language. We have 
covered topics ranging from phonetics to historical sound change, and it has attracted a 
loyal troop of linguists who relish the weekly meetings almost as much as I do. 
I have also channelled my passion for teaching into volunteering as a Spanish teacher 
at another local elementary school. Leading a class of thirty students can be a 
challenge, mainly as that many students are often hard to control. Nevertheless, I have 
planned and carried out lessons there each week for the last three years and have 
learnt a lot from it. I have found that as my confidence has grown, so the students have 
started to listen to and respect me more. They gain more from the lessons, as is evident 
from their progress at the end of each semester, and my enjoyment and fulfilment has 
risen. I am glad to have had a positive impact on their learning, and that I have been 
able to teach a subject that genuinely interests me. 
Finally, I was appointed as a school prefect for senior year. In this role, I have been 
involved with a number of charity initiatives, such as organising bake sales and 
sponsored sporting events to raise money for the Make a Wish foundation, as well as 
various pastoral activities such as mentoring incoming freshman and guiding 
prospective parents around the campus. I love being a prefect as it allows me to give 
something back to the school that has been a huge part of my life for the last several 
years. I hope my legacy is that students feel more comfortable and confident in the 
school environment, and that they are inspired to become leaders as I have been to 
give back to the community in turn."
112,"I only had one class with Tom, but his soapbox made an appearance almost every day. 
In every class conversation, he would always have a strong opinion that he would 
vocalize with no fear of judgment. It astonished me. Though I poured much time into 
developing my own opinions, I had nowhere near the confidence he had to throw them 
around freely. I doubted if they could hold up to questioning, and if not, how I would be 
perceived. 
As the year progressed, I was validated in that not all of his opinion stood up to scrutiny. 
However, I also realized that the only way to amend my own ideas was to put them on 
the line. The only way to withstand discord was to engage in it. And when coupled with 
my growing dedication to understanding others’ beliefs, I not only reflected on my own, 
but shared them, so others could internalize mine. Since then, I consistently draw on his 
intellectual confidence and the tempered thoughtfulness I have always possessed, to 
strike a balance between dialogue and introspection. Not until he came along had I 
realized the absolute importance of sharing imperfect ideas. As I have grown to 
recognize, my engagement in intellectual discourse not only works to refine my views 
but also works to constructively challenge those of others, fostering a mutually 
beneficial discussion, which though occasionally contentious, is always underpinned by 
tact and respect."
113,"Everywhere I looked, I saw a sea of white coats and scrubs; there was constant 
beeping of the heart monitors, and the smell of disinfectant was strong. 
There I stood - a diminutive, awkward high school kid - lacking in experience and 
confidence, ready to begin volunteering at Vidant Medical Center. Perhaps the very 
same qualities that made me nervous were what put patients at ease. Many patients, 
especially younger ones who were uncomfortable speaking with medical professionals, 
seemed much more comfortable in my presence. I have learned this quality is how I 
have been able to make a difference - by connecting with many of the younger patients 
who were nervous just like me. I’ll always remember the two eight-year-old brothers 
who were waiting as their father got an MRI. 
In some ways, they were also like me - they loved sports, and had an interest in math 
and science. As they were waiting, we talked about everything, from who they thought 
would win the NBA championship title to me giving them tips on how to remember their 
multiplication tables. This interaction put them at ease and kept them from becoming 
restless. 
Every time I step into the hospital, I strive to connect with people. I find that I am able to 
make a difference not strictly due to my tasks of escorting and discharging patients but 
because of connection and rapport that I establish with them. 
My initial nervousness about whether or not I would be able to assist sick and injured 
patients soon gave way to relief and gratification as I learned that I was indeed able to 
help them, by bringing a smile to those I escort, discharge, or deliver meals . I’ve met 
people I might never have met otherwise, and we’ve shared our thoughts and talked 
about our experiences. I have come to look forward to their company, who, despite their 
conditions, are still able to smile every day and enjoy engaging in conversation with me 
- and vice versa. 
Even when volunteering in areas of the hospital where I’m not in contact with patients 
as often, such as doing food preparation, I always make sure to visit the patients I 
escort after my shift, to talk to them and uplift their spirits. Volunteering at a hospital 
reminds me every day how fortunate I am to be in good health and of the rewards of 
helping those who aren’t. While my job as a volunteer at the hospital may not result in 
the discovery of a cure for cancer, I am happy to have had an opportunity to contribute 
to improving the experiences of the children and young adults coping with their hospital 
stays."
114,"Sweat drips down my face onto homework in front of me. 
I just got home from a soccer game; I’m not stressed. This is until I realize I still have a 
plethora of edits to make on my lab report as well as emails to write for an upcoming 
NHS event. AND I have three tests the next day. 
Fun. 
Although stressful, I enjoy every minute of juggling a variety of academics and 
extracurriculars. I appreciate all the opportunities my high school offers to me and I take 
advantage of as many as I can handle. Thanks to my involved years of high school, I 
have received a great education as well as many experiences I would never trade away. 
Entering my senior year and researching universities I may want to attend, there is one 
question which continuously presents itself. What do I want to major in when I get to 
college? It is a scary question and I have never known the answer. Despite participating 
in many extracurriculars such as National Honor Society, Science Olympiad, Math 
Honor Society, and Future Business Leaders of America, I still have no idea what I want 
to do with my life. 
As a student at LSA, I would be able to use the abundance of resources to explore 
possibilities for life after college. Since I am one of the many college applicants who has 
not decided upon a major, a large, liberal arts college like LSA is the perfect place for 
me to discover more about myself, pursue interests, and find my purpose. I have 
considered medicine, business, economics, and law. The two courses I have enjoyed 
the most are biomedical sciences and US History. I am truly all over the map! 
With so much variety at LSA, I would be able to change majors or take a diverse group 
of classes so that I could find what I want to study. LSA is unique from its University of 
Michigan counterparts because it offers a broader range of departments, majors, and 
courses. The flexibility at LSA would help me discover what I want my life to be like 
while supporting me through my journey. 
Additionally, LSA provides students with multiple opportunities not found anywhere else 
at University of Michigan. One program that caught my eye was Michigan Learning 
Communities. This program appeals to me because having the resources of this large 
university, yet finding a niche in the community to challenge myself and others, can help 
me grow as a student and a person. Similarly, the Opportunity Hub at LSA jumped out 
at me as I researched the University and toured the school. I would take full advantage 
of the great connections the Opportunity Hub provides, as it could help me find an 
internship or job offer when the perfect time comes. MLCs, the Opportunity Hub, and 
the many other programs which LSA offers are the main reasons why LSA would be the 
best college fit for me. 
I was initially drawn to the University of Michigan by the beautiful campus, great 
athletics programs, unmatched prestige, and massive alumni network. However, as I 
dove deeper, I discovered LSA, a school that can help me realize my purpose and 
passions while providing a focused learning environment to lead me to a bright future."
115,"While reading Tolkien's The Silmarillion, I was struck by the elegance of the Elvish 
script he included. Upon further research, I discovered that he had created an entire 
language – Quenya – to accompany the Lord of the Rings trilogy. The idea that a 
language could be crafted and cultivated like a piece of art was both illuminating and 
enticing to me. I had heard of Esperanto previously, but I don’t believe Tolkien was 
trying to change the world with his creation. His goal was simply to create a language 
for the pleasure of it, and to enrich his storytelling and worldbuilding. 
The revelation that language could be more than just a tool for communication triggered 
a desire to emulate Tolkien and create a language of my own. My first (unsuccessful) 
attempt I named ‘Ashaia’. It drew inspiration from the languages I had studied at school, 
including Spanish, French, Italian, Latin, and Ancient Greek, while conforming to unique 
phonotactical and grammatical constraints of my own devising. It was a highly 
enjoyable, rewarding, and time-consuming process that I repeated with several different 
language projects over my time in high school. 
It was creating languages (or ‘conlanging’) that introduced me to linguistics as an 
academic subject, and the college textbooks I read through my research by linguists 
such as Ti Alkire that encouraged me to pursue it at university. I have no doubt that I will 
continue to channel my passion for the subject into future creations during university 
and beyond."
116,"Bluntly put, moving in high school was difficult. I remember waving good-bye to my best 
friend through tear-filled eyes. I remember staying up the night before the first day at my 
new school, dreading having to eat lunch alone. I remember crying on my birthday. Most of 
all, I remember hating how my life had become a movie cliche, how I had seemingly been 
reduced to a shell of myself by relocating 399.2 miles south. 
Resolute in my desire to restore some semblance of normalcy, I started running 
incremental exploratory missions on this alien planet. I joined Science Olympiad, finding 
comfort in the companionship of fellow biology geeks. Fulfilling a longtime goal, I joined a 
volunteer station and became an EMT, loving the urgency of working in an ambulance and 
the unique satisfaction of saving a life. I spent countless hours reading papers about spinal 
cord stimulation, temporarily forgetting my social isolation with academic collaboration. I 
learned to drive, much to my parent’s chagrin. 
Though I still had the occasional bad day (as do we all), things were looking up. Reluctant 
optimism replaced hopeless despair as I became more confident in my abilities and less 
reliant on the context in which I applied them. Moving compelled me to meet different 
people, try new things, and succeed in an environment I hadn’t grown up in. The result was 
resilience, a firm belief that with hard work, a willingness to diversify, and a little self-
deprecation, no situation was impossible, no crisis un-manageable."
117,"I quit keeping track of how many times I've said ""Hi, welcome to Whitman!"" after my first 
Back-to-School-Night. As a member of the Whitman Navigator team for three years, I've 
greeted a few hundred parents, oriented three classes of freshmen, and built lasting 
friendships with fellow Navigators and staff. Navigators are Whitman students who lead 
Freshman Orientation and Back-to-School-Night, as well as give tours to transfer students. 
In this capacity, I've worked with our two principals, Dr. Goodwin (now retired) and Dr. 
Dodd, on building a more welcoming Whitman. The community I love best is that of my 
high school, Walt Whitman. My place is similar to that of a Walmart Greeter, in that I am the 
first person freshmen see when they enter the front door. Using my school spirit and three 
years' experience, I enthusiastically guide these freshmen through their first encounter 
with this large, and often intimidating, new community. 
Last year, I received my first question that I couldn't answer. As a chorus student, my 
knowledge of the Fine Arts at Whitman is limited; when a freshman asked me about 
ceramics courses, I paused and pondered. Rather than providing her with false 
information, I said, ""I actually couldn't tell you. 
At the end of orientation, I'll refer you to Gianni, a Navigator who took ceramics last year."" 
The closeness of the Navigator community meant that I knew the right person to answer 
her question. Here I was, answering the freshman's question in a position of authority, 
when only four years ago I was in her shoes. Navigators granted me the opportunity to help 
others acclimate to the school, and I developed leadership traits through which I could 
guide people successfully."
118,"Lou Holtz once said, “You don't go to Notre Dame to learn something; you go to Notre 
Dame to be somebody.” While I can hardly tell the difference between a linebacker, 
quarterback and fullback, I know that the advice from the former football coach rings 
true. Notre Dame will not only provide me with a wonderful education, but will equip me 
with the tools to pursue a career in government. 
Notre Dame’s emphasis on a practical political science education is what first drew me 
in. The emphasis on equipping students with the ability to do research through the 
Research Apprenticeship Course and the ability to complete a thesis allow for an 
undergraduate to get hands-on experience in helping contribute to the body of 
knowledge in political science. 
Further, the ability to obtain internships, especially with the U.S. Department of State 
and the City of Chicago Law Division emphasize the experiential learning I hoped for. 
Real-world experience will empower me to solve real-world problems and enter the 
workforce. 
While I may never understand football, with a Notre Dame education I know I will learn 
to understand political science deeply and be equipped for a successful future."
119,"A Love Letter to Target 
Dear Target, 
Home is where the heart is, and although I love my house, I have always felt my home 
is with you. I always enter with a single goal in mind and exit with an amalgam of knick-
knacks, soy candles and bags of medium-roast fair trade coffee. A brigade of 
employees dressed in red polos and khakis watch as I enter for the smallest thing and 
exit with a full cart. 
Target, you’ve seen it all. The frantic assembly of last-minute Halloween costumes, the 
first case of post-breakup Ben and Jerry’s purchases, and a giant inflatable flip-flop pool 
float. In many ways, the red of your walls has brought me comfort for all of high school, 
and I am eternally grateful for every trip. You have made every day and every shopping 
expedition an adventure, and I can’t wait to continue into college knowing that I’ll always 
have books in one hand and a bag with a red bullseye in the other. 
Sincerely yours, 
Isabella"
120,"Stepping foot in public has been like opening a floodgate to questions and comments 
about the one thing that I've been looked down upon my entire life for - my height. 
Standing out because I was 4'9"" wasn't something I was proud of; I was picked last for 
sports, not taken seriously, and often used as a human arm rest. My mom warned me 
life was going to be hard if I didn't drink my milk. However, people aren't aware that my 
appearance is a deception and what makes me extraordinary is that I've outgrown 
myself. People should be asking me how a person so ""big"" can fit into a girl so tiny. I 
have a huge personality, dreams, goals, and a plethora of talent. My achievements 
earned me such a high standing that I do know what the weather is like up there, yet, 
my head is never in the clouds because my distance from the ground makes me down 
to earth. 
My only oddity is that my anatomy has grown out of proportion. It's hard to believe that 
with such short arms, I can extend them long enough to touch hearts with my art and 
performances. I have been devoted to helping people and educating myself ever since I 
was young, but who knew that my brain and heart would become so gigantic? Despite 
my how big my brain is, I keep my head as small as my body because I value letting 
others know that I'll never overlook them. 
Although I haven't hit as many significant growth spurts as the average person. I grow 
with ambition every day, considering every moment a step closer to success. Being able 
to pursue my passions at a university will allow me to continue maturing into a person 
who will one day be looked up to by many. The reader of my response cannot see the 
facade that has been the subject of many peoples first impressions of me. instead, they 
will observe that even though I can't reach the top shelf, I can still reach my goals in life."
121,"I am a member of the Grosse Pointe chapter of YoungLife, a non-denominational 
Christian youth group. However, I wouldn't necessarily consider myself a ""Christian."" 
My relationship with God is exactly that—mine. I sometimes question certain Christian 
teachings and beliefs, and I'm not 100 percent sure that I am officially any one religion. 
This is not only OK, but encouraged at YoungLife; the motto of the organization is 
""Come as you are."" The differences between myself and the person sitting next to me at 
Sunday Club don't matter there. 
Our diverging ideas and opinions, some of which may be about religion itself, become 
white noise as we sing along with the leaders to start each Club at the YoungLife 
House. My understanding of Christianity can be polar opposite of that person—my 
friend—next to me, but we are connected in the Club's universal idea of being yourself 
and accepting others for doing the same. 
I am still figuring out my individual ideologies, and I expect it to take time before I fully 
understand my feelings. My views may will fall within those of a Christian church, they 
partially could, or they might not at all. I haven't solved my religious puzzle yet, but I 
don't feel like an outsider because of it. The people at YoungLife respect my internal 
journey. They understand that I don't fully understand my religion yet."
122,"Representing an ideal. 
Stanford is a gathering place of people working towards a common ideal; one of 
engagement, passion, intellectual vitality, and devotion to progress. This is what I stand 
for, so I want to help Stanford represent it. 
(Also those cream cheese croissants from CoHo.)"
123,"Because it took some time for me to pass my driving test, I was unable to get a 
traditional job at the same age as the rest of my peers. I had another friend who was 
also unable to drive. To fund our shopping addictions, we started our own business, 
""Velour Slimes,"" where we sold slimes of a diverse number of scents and textures. The 
experience gave us a taste of entrepreneurship and the elements of what it takes to run 
a successful business. One of those elements was collaboration. 
Going into business with a friend can get ugly, even with a small scale operation like 
ours. One of our most grueling conflicts was deciding whether to spend our first profit 
paying off our debts or buying new materials to make more slime with. Neither of us 
were transparent with our goals, or on the same page. We let our conflict escalate to the 
point where we could not look at each other. Eventually we solved our issue by 
effectively communicating together. By being honest with each other about our ideas 
and concisely supporting our arguments with evidence, we were able to understand 
each other and find a balance. In the end, we compromised. We spent half of the 
money paying off our debts and the other half on more materials to create even more 
slimes. 
This experience brought me closer to my friend. We were able to strengthen our 
relationship while becoming more understanding and considerate of each others’ 
feelings. I discovered empathy is deeply necessary in improving the negative aspects of 
modern day society. If we were all a bit more empathetic, the world would be a more 
pleasant place. For that reason, I try to continuously improve my own compassion."
